_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,EXTERIOR GROUNDS,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,POOLS,OTHER AMENITIES,PARKING AREAS,ELEVATOR MAINTENANCE,INTERIOR HALLWAY FLOORS,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y,BUILDING SCORE CATEGORY
1049,4156306,2017,1952,2025,PRIVATE,Scarborough Southwest,3222 ST CLAIR AVE E,3,16,2025-09-05,92,92,0,37,3,2,-1,2,3,2,3,3,3,3,-1,3,3,-1,-1,3,-1,3,-1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,E2021,43,-79,321729,4840952,Excellent
1050,4152609,2017,1968,2023,PRIVATE,Scarborough Southwest,3423 ST CLAIR AVE E,4,30,2023-10-17,91,91,0,44,3,2,2,2,3,3,3,3,3,3,-1,-1,3,-1,-1,2,3,3,3,3,2,3,3,1,3,3,3,3,3,1,3,3,3,E2029,43,-79,323053,4841304,Excellent
1051,4152609,2017,1968,2025,PRIVATE,Scarborough Southwest,3423 ST CLAIR AVE E,4,30,2025-10-08,93,93,0,44,3,2,2,3,3,3,3,3,3,2,-1,-1,3,-1,-1,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,E2029,43,-79,323053,4841304,Excellent
1052,4155564,2017,1970,2023,TCHC,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,2023-07-25,88,88,0,46,3,2,3,2,3,3,3,1,2,3,3,3,3,-1,-1,3,3,2,3,3,2,2,2,3,3,2,3,3,3,1,3,3,3,E2030,43,-79,323381,4841396,Good
1053,4155564,2017,1970,2025,TCHC,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,2025-07-02,93,94,-1,46,3,3,3,2,3,3,3,3,3,2,-1,3,3,-1,2,2,3,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,E2030,43,-79,323381,4841396,Excellent
1054,4154590,2024,1954,2023,PRIVATE,York Centre,25 ROSSEAU RD,3,11,2023-07-27,84,84,0,38,2,2,-1,1,3,2,3,3,3,2,-1,3,3,-1,-1,1,-1,2,-1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,N0629,43,-79,309858,4844608,Good
1055,4154597,2017,1949,2024,PRIVATE,York Centre,26 ROSSEAU RD,3,11,2024-08-06,87,87,0,38,2,2,-1,2,3,3,3,3,3,2,-1,3,3,-1,-1,2,-1,2,-1,3,2,1,3,3,3,2,3,3,3,3,1,3,3,N0629,43,-79,309797,4844588,Good
1056,5382870,2024,1920,2024,PRIVATE,University-Rosedale,32 ROWANWOOD AVE,4,14,2024-08-27,94,95,-1,41,3,2,3,3,2,2,3,2,3,-1,-1,3,3,-1,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1129,43,-79,313788,4837555,Excellent
1057,4155773,2017,1966,2024,PRIVATE,Don Valley East,100 ROWENA DR,12,248,2024-07-18,73,82,-9,45,1,2,3,2,1,1,3,3,3,2,-1,-1,3,3,2,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,N1625,43,-79,319733,4845545,Good
1058,4154900,2017,1966,2025,PRIVATE,Don Valley East,105 ROWENA DR,12,243,2025-10-07,80,83,-3,41,2,2,3,3,3,2,3,1,-1,3,-1,-1,2,-1,-1,2,3,3,3,3,1,1,3,3,1,2,3,1,1,3,1,3,1,N1625,43,-79,319750,4845444,Good
1059,4154900,2017,1966,2023,PRIVATE,Don Valley East,105 ROWENA DR,12,243,2023-08-21,81,81,0,43,2,2,3,3,2,3,3,3,1,1,-1,-1,1,-1,-1,1,3,2,2,3,2,1,3,3,3,1,3,3,3,3,3,3,3,N1625,43,-79,319750,4845444,Good
1060,4155513,2017,1957,2023,PRIVATE,Etobicoke-Lakeshore,2 ROYAL YORK RD,6,60,2023-08-04,88,88,0,42,3,2,3,2,2,2,3,3,2,2,-1,3,3,-1,-1,2,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,W0335,43,-79,305341,4828975,Good
1061,4155513,2017,1957,2025,PRIVATE,Etobicoke-Lakeshore,2 ROYAL YORK RD,6,60,2025-07-18,97,97,0,40,3,3,2,3,3,3,3,3,3,3,-1,3,3,-1,-1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0335,43,-79,305341,4828975,Excellent
1062,4155512,2017,1951,2025,PRIVATE,Etobicoke-Lakeshore,6 ROYAL YORK RD,5,72,2025-07-18,99,99,0,41,3,2,-1,3,3,3,3,3,3,3,-1,3,3,-1,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0335,43,-79,305313,4829025,Excellent
1063,4155512,2017,1951,2023,PRIVATE,Etobicoke-Lakeshore,6 ROYAL YORK RD,5,72,2023-09-15,98,98,0,42,3,2,-1,2,3,3,3,3,3,3,-1,3,3,-1,-1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0335,43,-79,305313,4829025,Excellent
1064,4155469,2017,1972,2024,TCHC,Etobicoke-Lakeshore,340 ROYAL YORK RD,16,307,2024-08-21,98,98,0,45,3,3,3,3,3,2,3,3,3,3,-1,3,3,-1,3,3,3,3,-1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,W0332,43,-79,304837,4830553,Excellent
1065,4155224,2017,1965,2024,PRIVATE,Etobicoke-Lakeshore,800 ROYAL YORK RD,6,60,2024-08-07,96,96,0,42,3,2,3,3,3,2,3,3,3,3,-1,3,3,-1,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0325,43,-79,304076,4832984,Excellent
1066,4155223,2017,1960,2023,PRIVATE,Etobicoke-Lakeshore,810 ROYAL YORK RD,6,60,2023-08-28,91,91,0,43,3,3,3,3,3,3,3,2,3,3,-1,3,3,-1,-1,3,3,3,-1,3,2,2,3,1,3,3,3,3,3,3,2,3,3,W0325,43,-79,304055,4833068,Excellent
1067,4155223,2017,1960,2025,PRIVATE,Etobicoke-Lakeshore,810 ROYAL YORK RD,6,60,2025-11-24,98,98,0,43,3,3,3,3,3,3,3,3,3,3,-1,3,3,-1,-1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,W0325,43,-79,304055,4833068,Excellent
1068,4155337,2017,1963,2023,PRIVATE,Etobicoke Centre,1137 ROYAL YORK RD,10,122,2023-06-26,95,95,0,43,2,2,3,3,3,2,3,3,3,3,3,3,3,-1,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0230,43,-79,303562,4835476,Excellent
1069,4155337,2017,1963,2025,PRIVATE,Etobicoke Centre,1137 ROYAL YORK RD,10,122,2025-11-24,98,98,0,41,3,3,3,3,3,2,3,3,3,3,-1,3,3,-1,-1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0230,43,-79,303562,4835476,Excellent
